2026-04-14 10:37:19 | Info     | server.py:508             | Scheduler: next maintenance at 2026-04-14 16:30 UTC
2026-04-14 10:37:19 | Info     | server.py:269             | Processing: run 2026041309 +0h (queue: 32 remaining)
2026-04-14 10:37:19 | Info     | server.py:269             | Processing: run 2026041312 +0h (queue: 31 remaining)
2026-04-14 10:37:19 | Info     | server.py:269             | Processing: run 2026041315 +0h (queue: 30 remaining)
2026-04-14 10:39:00 | Info     | server.py:297             | Done: run 2026041315 +0h (100.6s)
2026-04-14 10:39:00 | Info     | server.py:269             | Processing: run 2026041318 +0h (queue: 29 remaining)
2026-04-14 10:39:19 | Error    | server.py:293             | Worker for ('2026041318', 0) failed (exit 3221225786). See C:\tmp\webigeo\clouds-server\tiles_output\2026041318_000\latest.log
2026-04-14 10:39:20 | Info     | server.py:269             | Processing: run 2026041321 +0h (queue: 28 remaining)
2026-04-14 10:39:23 | Info     | server.py:516             |  ========================================= 
2026-04-14 10:39:23 | Info     | server.py:517             |  === weBIGeo Cloud Server v1.1 started === 
2026-04-14 10:39:23 | Info     | server.py:518             |  ========================================= 
2026-04-14 10:39:23 | Info     | server.py:493             | Scheduler: running maintenance
2026-04-14 10:39:23 | Info     | server.py:530             | Starting waitress server on http://127.0.0.1:8000
2026-04-14 10:39:23 | Debug    | server.py:473             | Purge: 2026041309_000 (invalid/incomplete)
2026-04-14 10:39:23 | Debug    | server.py:473             | Purge: 2026041312_000 (invalid/incomplete)
2026-04-14 10:39:24 | Debug    | server.py:473             | Purge: 2026041318_000 (invalid/incomplete)
2026-04-14 10:39:24 | Debug    | server.py:473             | Purge: 2026041321_000 (invalid/incomplete)
2026-04-14 10:39:24 | Info     | server.py:489             | Purge: removed 4 tile set(s)
2026-04-14 11:52:36 | Info     | server.py:539             |  ========================================= 
2026-04-14 11:52:36 | Info     | server.py:540             |  === weBIGeo Cloud Server v1.2 started === 
2026-04-14 11:52:36 | Info     | server.py:541             |  ========================================= 
2026-04-14 11:52:36 | Info     | server.py:516             | Scheduler: running maintenance
2026-04-14 11:52:36 | Info     | server.py:553             | Starting waitress server on http://127.0.0.1:8000
2026-04-14 11:52:36 | Info     | server.py:512             | Purge: removed 0 tile set(s)
2026-04-14 11:55:31 | Info     | server.py:539             |  ========================================= 
2026-04-14 11:55:31 | Info     | server.py:540             |  === weBIGeo Cloud Server v1.2.1 started === 
2026-04-14 11:55:31 | Info     | server.py:541             |  ========================================= 
2026-04-14 11:55:31 | Info     | server.py:516             | Scheduler: running maintenance
